"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-11-27 ~ 2025-11-26"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"74","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","13.22"," ","9,000","","법인","개인","202511","22","","1976","-","직거래","-"
"75","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"76","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.07"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"77","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"78","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"79","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"80","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.59"," ","6,000","4","법인","개인","202511","22","","1976","-","직거래","-"
"81","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"82","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"83","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.96"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"84","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.80"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"85","서울특별시 서초구 우면동","집합","687","성촌1길","준주거","제2종근린생활","12m미만","55.87"," ","35,000","3","개인","개인","202511","22","","2015","-","중개거래","서울 송파구"
"86","서울특별시 서초구 방배동","집합","789-24","동광로9길","제2종일반주거","제2종근린생활","8m미만","16.17"," ","25,000","1","법인","개인","202511","21","","2018","-","중개거래","서울 동작구"
"87","서울특별시 송파구 잠실동","집합","27-6","올림픽로","제1종일반주거","제1종근린생활","25m이상","6.50"," ","34,000","","개인","개인","202511","21","지분","1978","-","직거래","-"
"88","서울특별시 서초구 우면동","집합","66-1","바우뫼로7길","준주거","제2종근린생활","25m미만","41.82"," ","15,000","2","개인","개인","202511","21","","1995","-","중개거래","서울 서초구"
"89","서울특별시 서초구 방배동","일반","2***","동광로","제3종일반주거","제2종근린생활","25m미만","52.14","20.67","50,000","","개인","개인","202511","21","지분","1973","-","직거래","-"
"90","서울특별시 서초구 반포동","집합","1141","신반포로","제3종일반주거","판매","25m이상","4.88"," ","7,000","","개인","개인","202511","21","","1988","-","직거래","-"
"91","서울특별시 서초구 방배동","일반","2***","동광로","제3종일반주거","제2종근린생활","25m미만","52.14","20.67","49,000","","개인","개인","202511","21","지분","1973","-","직거래","-"
"92","서울특별시 서초구 서초동","집합","1600-11","서초중앙로","일반상업","업무","25m이상","10.15"," ","6,100","6","개인","법인","202511","21","","2005","-","중개거래","서울 서초구"
"93","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","2,900","","법인","개인","202511","21","","2002","-","직거래","-"
"94","서울특별시 동대문구 전농동","집합","295-431","전농로15길","근린상업","판매","8m미만","18.45"," ","18,500","","개인","개인","202511","21","","1969","-","중개거래","서울 동대문구"
"95","서울특별시 동대문구 전농동","집합","295-431","전농로15길","근린상업","판매","8m미만","18.45"," ","18,500","","개인","개인","202511","21","","1969","-","중개거래","서울 동대문구"
"96","서울특별시 중랑구 상봉동","집합","116-17","망우로","제3종일반주거","제1종근린생활","25m이상","128.72"," ","12,500","","개인","개인","202511","21","지분","2019","-","중개거래","서울 중랑구"
"97","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.87"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"98","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.40"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"99","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","6.87"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"100","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","5.03"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"101","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.78"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"102","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","7.33"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"103","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.40"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"104","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","6.53"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"105","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.29"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"106","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","5.11"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"107","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.68"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"108","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.40"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"109","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.87"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"110","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","8.74"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"111","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","9.26"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"112","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.87"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"113","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","5.11"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"114","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.68"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"115","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","6.18"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"116","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.68"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"117","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.68"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"118","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","6.64"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"119","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.68"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"120","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","5.11"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"121","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","4.77"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"122","서울특별시 관악구 봉천동","집합","862-1","남부순환로","일반상업","판매","25m이상","6.04"," ","3,000","50","법인","개인","202511","21","","2006","-","직거래","-"
"123","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.90"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"124","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"125","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"126","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,500","","법인","개인","202511","21","","1976","-","직거래","-"
"127","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,500","","법인","개인","202511","21","","1976","-","직거래","-"
"128","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","1","법인","개인","202511","21","","1976","-","직거래","-"
"129","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.29"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"130","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"131","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","9.88"," ","9,000","","법인","개인","202511","21","","1976","-","직거래","-"
"132","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","1","법인","개인","202511","21","","1976","-","직거래","-"
"133","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"134","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"135","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"136","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"137","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.54"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"138","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.47"," ","6,000","","법인","개인","202511","21","","1976","-","직거래","-"
"139","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","8.66"," ","6,000","1","법인","개인","202511","21","","1976","-","직거래","-"
"140","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","5.64"," ","2,200","","법인","개인","202511","21","","2002","-","직거래","-"
"141","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","5.46"," ","3,300","","법인","개인","202511","21","","2002","-","직거래","-"
"142","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","5.92"," ","2,600","","법인","개인","202511","21","","2002","-","직거래","-"
"143","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,600","40","법인","개인","202511","21","","2005","-","직거래","-"
"144","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","2,150","","법인","개인","202511","21","","2002","-","직거래","-"
"145","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,500","","법인","개인","202511","21","","2002","-","직거래","-"
"146","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","6.31"," ","3,100","","법인","개인","202511","21","","2002","-","직거래","-"
"147","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","2,950","","법인","개인","202511","21","","2002","-","직거래","-"
"148","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","4,000","","법인","개인","202511","21","","2002","-","직거래","-"
"149","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","1,900","","법인","개인","202511","21","","2002","-","직거래","-"
"150","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","1,900","","법인","개인","202511","21","","2002","-","직거래","-"
"151","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","2,850","","법인","개인","202511","21","","2002","-","직거래","-"
"152","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","14.15"," ","13,800","","법인","개인","202511","21","","2002","-","직거래","-"
"153","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","4,900","","법인","개인","202511","21","","2002","-","직거래","-"
"154","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","4,900","","법인","개인","202511","21","","2002","-","직거래","-"
"155","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","4,900","","법인","개인","202511","21","","2002","-","직거래","-"
"156","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","4,900","","법인","개인","202511","21","","2002","-","직거래","-"
